Ticker,Secteur,Prix CAD,Poids %,Momentum 90j,Momentum 30j,Momentum Combiné,Dividende %,Score Fondamental
IMG.TO,Basic Materials,24.600000381469727,0.0,0.28795810943207845,-0.16666666666666666,0.1515706766024549,0.0,65
CCO.TO,Energy,144.30999755859375,0.0,0.2413285831869968,-0.0625568710542144,0.15016294691463342,0.17,15
TFII.TO,Industrials,145.4600067138672,0.0,0.2569187366900463,-0.11098880910193043,0.14654647295245327,1.75,15
TRP.TO,Energy,88.1500015258789,0.0,0.17731770600084718,0.018839631831436582,0.12977428375002398,3.98,40
