Ticker,Secteur,Prix CAD,Poids %,Momentum 90j,Momentum 30j,Momentum Combiné,Dividende %,Score Fondamental
CNQ.TO,Energy,69.45999908447266,6.666666666666667,0.49296682573260525,0.26539643724114514,0.4246957091851672,3.6,30
MDA.TO,Industrials,34.52000045776367,6.666666666666667,0.5951941511734249,-0.010888282277966593,0.41336942113800745,0.0,40
SU.TO,Energy,92.5,6.666666666666667,0.4894829993373952,0.22250545981036088,0.40938973747928487,2.59,25
CVE.TO,Energy,37.22999954223633,6.666666666666667,0.45874433107846946,0.2529326309448891,0.39700082103839535,2.15,15
NFI.TO,Consumer Cyclical,19.229999542236328,6.666666666666667,0.4746932207432063,0.07550338058359538,0.35493626869532297,0.0,25
WCP.TO,Energy,15.539999961853027,6.666666666666667,0.3653733711959659,0.18621494486877715,0.3116258432978093,4.69,40
NTR.TO,Basic Materials,105.04000091552734,6.666666666666667,0.3222294752100995,0.08883590324849128,0.25221140362161704,2.85,5
IMO.TO,Energy,181.25,6.666666666666667,0.3008764028331823,0.11620885915606251,0.24547613973004634,1.92,15
EDV.TO,Basic Materials,77.27999877929688,6.666666666666667,0.3325201678758688,-0.07782382225307095,0.20941697083718686,2.59,45
EQB.TO,Financial Services,110.83999633789062,6.666666666666667,0.3214013238007263,-0.05420384912723278,0.20871977192233854,2.02,15
ARX.TO,Energy,29.389999389648438,6.666666666666667,0.1847098185110544,0.20302902261617337,0.19020557974259006,2.86,45
LUN.TO,Basic Materials,32.040000915527344,6.666666666666667,0.28825834451989407,-0.07847368687261563,0.17823873510214114,0.34,45
PEY.TO,Energy,26.850000381469727,6.666666666666667,0.22105914625551615,0.0350409939123077,0.16525370055255362,4.92,45
AGI.TO,Basic Materials,58.970001220703125,6.666666666666667,0.24913019795455818,-0.04207936498493961,0.16176732907270883,0.27,45
PPL.TO,Energy,63.56999969482422,6.666666666666667,0.19799794195460826,0.06429202377521112,0.1578861665007891,4.47,15
