Ticker,Pays,Devise,Secteur,Prix CAD,Prix Natif,Poids %,Momentum 90j,Momentum 30j,Momentum Combiné,Dividende %,Score Fondamental,Taux USD/CAD
MPWR,USA,USD→CAD,Technology,1546.6593071411917,1118.6600341796875,0.0,0.21233824824809794,-0.06523605789376405,0.12906595640553933,0.72,60,1.382599949836731
TXN,USA,USD→CAD,Technology,272.0541980364778,196.77000427246094,0.0,0.22082460235097026,-0.13148831924059506,0.11513072587350065,2.89,55,1.382599949836731
DECK,USA,USD→CAD,Consumer Cyclical,138.32912920052513,100.05000305175781,0.0,0.20397117796476577,-0.13271495733001878,0.1029653373763304,0.0,50,1.382599949836731
TD.TO,Canada,CAD,Financial Services,130.32000732421875,130.32000732421875,0.0,0.15214451483815797,-0.013250548216476764,0.10252599592176755,3.31,50,1.382599949836731
